,代码,名称,最新价,涨跌幅,接待日期,公告日期,接待机构数量
5,688005,容百科技,66.78,7.45,2021-01-18,2021-01-19,63
0,002084,海鸥住工,6.74,-0.30,2021-01-19,2021-01-20,23
1,002324,普利特,20.49,2.81,2021-01-19,2021-01-20,22
7,300737,科顺股份,24.64,-0.36,2021-01-18,2021-01-19,21
8,300726,宏达电子,80.48,5.08,2021-01-18,2021-01-19,20
9,300031,宝通科技,17.22,0.12,2021-01-19,2021-01-19,19
10,300633,开立医疗,22.11,-0.23,2021-01-19,2021-01-19,14
12,300396,迪瑞医疗,24.95,-0.04,2021-01-18,2021-01-19,12
14,002649,博彦科技,9.57,-0.10,2021-01-18,2021-01-19,9
15,002612,朗姿股份,24.00,7.72,2021-01-18,2021-01-19,8
16,002920,德赛西威,123.90,2.40,2021-01-18,2021-01-19,8
17,300009,安科生物,14.74,-0.81,2021-01-19,2021-01-19,7
18,002436,兴森科技,10.06,0.20,2021-01-18,2021-01-19,5
19,002650,ST加加,6.12,1.16,2021-01-19,2021-01-19,4
21,002533,金杯电工,5.33,0.38,2021-01-19,2021-01-19,3
22,002991,甘源食品,86.37,2.69,2021-01-18,2021-01-19,3
24,002859,洁美科技,27.56,0.22,2021-01-19,2021-01-19,2
25,000935,四川双马,12.79,-0.85,2021-01-18,2021-01-19,2
26,002092,中泰化学,7.80,0.39,2021-01-18,2021-01-19,2
27,300327,中颖电子,35.84,-2.05,2021-01-18,2021-01-19,2
3,603776,永安行,15.95,0.00,2021-01-18,2021-01-20,1
28,002362,汉王科技,25.56,-2.07,2021-01-19,2021-01-19,1
29,300243,瑞丰高材,16.26,-2.22,2021-01-18,2021-01-19,1
30,300456,赛微电子,24.06,1.26,2021-01-18,2021-01-19,1
31,300915,海融科技,77.52,-0.59,2021-01-18,2021-01-19,1
54,000032,深桑达A,18.60,0.22,2021-01-18,2021-01-18,1
55,002097,山河智能,8.20,-0.61,2021-01-18,2021-01-18,1
56,002697,红旗连锁,6.37,-0.47,2021-01-18,2021-01-18,1
